Date,Open,High,Low,Close,Adj Close,Volume
8/1/2000,18,18.1875,18,18.125,5.273952,41100
8/2/2000,18.125,18.1875,18,18.1875,5.292139,33300
8/3/2000,18.25,18.375,18.125,18.1875,5.292139,45400
8/4/2000,18.25,18.25,17.875,18.1875,5.292139,64400
8/7/2000,18.125,18.3125,18.125,18.1875,5.292139,54900
8/8/2000,18.1875,18.4375,18.125,18.4375,5.364882,63300
8/9/2000,18.5,18.625,18.375,18.625,5.419439,68500
8/10/2000,18.5,18.75,18.4375,18.6875,5.437626,123000
8/11/2000,18.6875,18.9375,18.6875,18.8125,5.473998,99200
8/14/2000,18.875,19.125,18.875,18.9375,5.510372,67000
8/15/2000,18.9375,19.1875,18.5,18.5625,5.401253,34600
8/16/2000,18.625,18.6875,18.375,18.5625,5.401253,97900
8/17/2000,18.75,18.8125,18.5625,18.625,5.419439,57700
8/18/2000,18.75,18.8125,18.5,18.5,5.383066,102400
8/21/2000,18.875,18.9375,18.4375,18.625,5.419439,74300
8/22/2000,18.875,19.25,18.625,18.6875,5.437626,81900
8/23/2000,18.5625,18.75,18.375,18.375,5.346695,98000
8/24/2000,18.25,18.5625,18.1875,18.5625,5.401253,47200
8/25/2000,18.5,18.5625,18.25,18.4375,5.364882,48400
8/28/2000,18.375,18.6875,17.875,18.0625,5.255765,67300
8/29/2000,17.8125,18.25,17.8125,17.9375,5.219393,58000
8/30/2000,17.9375,18.0625,17.8125,18,5.23758,48600
8/31/2000,18,18.1875,17.875,18.0625,5.255765,55500
9/1/2000,18,18.1875,17.875,17.9375,5.219393,45600
9/5/2000,17.9375,18.3125,17.75,18.3125,5.328508,65000
9/6/2000,18.25,18.25,17.875,18.125,5.273952,33700
9/7/2000,18.25,18.25,17.75,18,5.23758,43700
9/8/2000,18,18.25,17.9375,18.25,5.310325,56400
9/11/2000,18.25,18.4375,18.125,18.3125,5.328508,70800
9/12/2000,18.125,18.625,18.125,18.1875,5.292139,89000
9/13/2000,18.1875,18.5,18.125,18.4375,5.364882,59600
9/14/2000,18.5,19,18.4375,18.8125,5.473998,86000
9/15/2000,18.625,18.8125,18.4375,18.4375,5.364882,52000
9/18/2000,18.4375,18.6875,18,18,5.23758,71400
9/19/2000,17.875,18,17.8125,18,5.23758,66400
9/20/2000,17.9375,18.1875,17.8125,17.8125,5.183022,93800
9/21/2000,17.9375,18,17.875,17.9375,5.219393,40800
9/22/2000,17.875,18.0625,17.875,18,5.23758,45500
9/25/2000,18.125,18.125,17.8125,17.9375,5.219393,39900
9/26/2000,17.875,18.0625,17.75,17.9375,5.219393,54200
9/27/2000,17.9375,18.0625,17.75,17.875,5.201207,40800
9/28/2000,17.875,17.9375,17.6875,17.8125,5.183022,84100
9/29/2000,17.875,17.9375,17.75,17.75,5.164836,76700
10/2/2000,17.8125,17.875,17.5625,17.5625,5.110278,51400
10/3/2000,17.5625,17.8125,17.5625,17.625,5.128465,41400
10/4/2000,17.75,18.25,17.6875,18.25,5.310325,118500
10/5/2000,18.125,18.125,17.6875,17.75,5.164836,37800
10/6/2000,17.75,18,17.625,17.625,5.128465,38000
10/9/2000,17.75,17.75,17.5,17.6875,5.146647,62400
10/10/2000,17.75,17.9375,17.75,17.9375,5.219393,46900
10/11/2000,17.875,17.875,17.75,17.8125,5.183022,32700
10/12/2000,17.9375,17.9375,17.625,17.625,5.128465,41900
10/13/2000,17.5625,17.875,17.375,17.875,5.201207,48900
10/16/2000,17.75,17.9375,17.6875,17.8125,5.183022,43700
10/17/2000,17.625,17.75,16.8125,16.8125,4.892044,83300
10/18/2000,16.9375,17.375,16.4375,17.25,5.019346,112400
10/19/2000,17.3125,17.75,17.1875,17.6875,5.146647,46500
10/20/2000,17.6875,17.875,17.625,17.625,5.128465,39600
10/23/2000,17.625,17.8125,17.5625,17.625,5.128465,70400
10/24/2000,17.75,17.75,17.625,17.75,5.164836,121600
10/25/2000,17.8125,17.8125,17.375,17.375,5.05572,50400
10/26/2000,17.5,17.6875,17.5,17.625,5.128465,59800
10/27/2000,17.0625,17.6875,17.0625,17.6875,5.323337,46800
10/30/2000,17.625,17.75,17.5625,17.6875,5.323337,93700
10/31/2000,17.75,17.75,17.5,17.6875,5.323337,49900
11/1/2000,17.5625,17.75,17.5,17.5,5.266907,39400
11/2/2000,17.375,17.5,17.375,17.5,5.266907,33400
11/3/2000,17.5,17.5,17.0625,17.25,5.191666,34800
11/6/2000,17.25,17.25,16.875,16.9375,5.097615,53800
11/7/2000,16.9375,17.1875,16.8125,17.0625,5.135233,57200
11/8/2000,17.125,17.1875,16.9375,17.125,5.154044,29900
11/9/2000,17,17,16.6875,16.9375,5.097615,59900
11/10/2000,16.875,17,16.6875,16.6875,5.022374,62900
11/13/2000,16.5,16.875,16.5,16.8125,5.059992,85900
11/14/2000,16.75,16.8125,16.6875,16.8125,5.059992,18900
11/15/2000,16.9375,17.125,16.75,16.8125,5.059992,51500
11/16/2000,16.75,17,16.625,16.8125,5.059992,37400
11/17/2000,16.9375,17,16.8125,16.8125,5.059992,47100
11/20/2000,16.9375,17.25,16.875,17.25,5.191666,63900
11/21/2000,17.5,17.5,17.0625,17.0625,5.135233,83300
11/22/2000,17.125,17.25,16.875,16.9375,5.097615,58000
11/24/2000,17,17.1875,16.9375,17.1875,5.172854,16200
11/27/2000,16.875,17.375,16.875,17.25,5.191666,74100
11/28/2000,17.125,17.4375,17,17.0625,5.135233,35700
11/29/2000,17,17.25,17,17.1875,5.172854,35900
11/30/2000,17.125,17.25,16.875,16.875,5.078803,63300
12/1/2000,16.875,17.125,16.875,17,5.116426,47700
12/4/2000,16.8125,16.9375,16.75,16.75,5.041181,65000
12/5/2000,16.8125,17.1875,16.6875,17.1875,5.172854,84300
12/6/2000,17.125,17.1875,16.75,16.8125,5.059992,59800
12/7/2000,16.8125,16.9375,16.75,16.875,5.078803,37500
12/8/2000,16.9375,17.0625,16.875,17,5.116426,69700
12/11/2000,17,17,16.8125,16.875,5.078803,74300
12/12/2000,16.875,16.9375,16.8125,16.9375,5.097615,39600
12/13/2000,16.9375,16.9375,16.8125,16.875,5.078803,60900
12/14/2000,16.9375,16.9375,16.8125,16.875,5.078803,38300
12/15/2000,16.875,16.875,16.6875,16.8125,5.059992,69600
12/18/2000,16.8125,17.125,16.8125,16.9375,5.097615,83900
12/19/2000,16.875,17.1875,16.875,16.9375,5.097615,90500
12/20/2000,17.0625,17.125,16.8125,16.8125,5.059992,77000
12/21/2000,16.8125,16.875,16.6875,16.8125,5.059992,50700
12/22/2000,16.75,16.875,16.1875,16.5,4.96594,156300
12/26/2000,16.5,16.5,15.9375,16.0625,4.834269,114800
12/27/2000,16,16.375,15.9375,16.25,4.8907,165400
12/28/2000,16.1875,16.75,16.1875,16.625,5.003564,155600
12/29/2000,16.5,16.75,16.25,16.25,4.8907,157500
1/2/2001,16.25,16.375,16.0625,16.0625,4.834269,124000
1/3/2001,16.125,16.6875,16.125,16.6875,5.022374,127700
1/4/2001,16.8125,16.8125,16.5625,16.6875,5.022374,132000
1/5/2001,16.6875,16.6875,16.25,16.25,4.8907,113500
1/8/2001,16.25,16.875,16.25,16.8125,5.059992,161300
1/9/2001,16.9375,17.625,16.875,17.4375,5.248097,122200
1/10/2001,17.25,17.875,17.25,17.875,5.37977,137900
1/11/2001,17.75,17.8125,17.5,17.625,5.304529,152400
1/12/2001,17.6875,17.6875,17.5,17.5625,5.285719,48400
1/16/2001,17.625,17.875,17.5,17.6875,5.323337,112700
1/17/2001,17.75,17.75,17.5,17.5625,5.285719,98900
1/18/2001,17.5,17.6875,17.375,17.6875,5.323337,87900
1/19/2001,17.6875,18.1875,17.6875,18,5.417391,93900
1/22/2001,18.125,18.8125,18.125,18.6875,5.624303,124700
1/23/2001,18.5625,19.0625,18.5625,19,5.718358,105100
1/24/2001,19.125,19.4375,19.125,19.25,5.793598,138600
1/25/2001,19.1875,19.375,19.0625,19.0625,5.737168,111000
1/26/2001,19,19.4375,18.75,19.3125,5.812408,133800
1/29/2001,18.65,19.059999,18.58,19.059999,5.915607,141500
1/30/2001,19.059999,19.16,18.870001,19,5.896985,121000
1/31/2001,19,19,18.5,18.5,5.741799,94200
2/1/2001,18.6,18.780001,18.5,18.74,5.816287,86800
2/2/2001,18.75,18.75,18.379999,18.379999,5.704557,65700
2/5/2001,18.309999,18.549999,18.200001,18.280001,5.673519,78200
2/6/2001,18.35,18.82,18.299999,18.82,5.841117,124900
2/7/2001,18.85,18.99,18.75,18.85,5.850428,68200
2/8/2001,18.85,18.85,18.709999,18.84,5.847326,61000
2/9/2001,18.799999,18.9,18.620001,18.65,5.788354,78500
2/12/2001,18.66,18.91,18.639999,18.700001,5.803873,76700
2/13/2001,18.65,18.98,18.65,18.9,5.865947,58600
2/14/2001,18.98,19,18.870001,18.99,5.893881,75600
2/15/2001,18.99,19.15,18.98,19.02,5.903193,40500
2/16/2001,19,19.049999,18.879999,18.879999,5.859742,64500
2/20/2001,19.08,19.1,18.950001,19.1,5.928019,61200
2/21/2001,19.200001,19.200001,18.950001,18.969999,5.887672,60500
2/22/2001,18.98,19.110001,18.950001,19,5.896985,35400
2/23/2001,19.049999,19.200001,18.950001,18.950001,5.881465,89600
2/26/2001,19,19.25,18.950001,19.25,5.974577,71500
2/27/2001,19.200001,19.25,19.02,19.049999,5.912506,72500
2/28/2001,19.1,19.1,18.950001,19.08,5.921813,53200
3/1/2001,19.1,19.290001,18.950001,19.200001,5.959057,63500
3/2/2001,19.1,19.290001,19,19.290001,5.98699,75200
3/5/2001,19.1,19.299999,19,19.049999,5.912506,86500
