Date,Open,High,Low,Close,Adj Close,Volume
2000-08-01,23.937500,24.437500,23.750000,24.187500,10.901503,4587600
2000-09-01,24.250000,25.000000,24.062500,24.562500,11.070519,2942600
2000-10-01,24.125000,24.375000,22.812500,23.500000,10.591641,2644900
2000-11-01,23.500000,23.812500,22.500000,23.812500,10.896631,4513600
2000-12-01,23.750000,26.062500,23.312500,25.812500,11.811835,4812400
2001-01-01,25.687500,25.875000,23.750000,24.650000,11.451946,4706700
2001-02-01,24.600000,24.709999,23.549999,24.709999,11.479814,2728300
2001-03-01,24.600000,25.150000,23.160000,24.600000,11.428714,3600200
2001-04-01,24.250000,25.049999,22.750000,24.900000,11.568084,4139200
2001-05-01,24.950001,25.150000,23.900000,24.700001,11.662432,3030400
2001-06-01,24.700001,25.799999,24.400000,25.760000,12.162928,3914900
2001-07-01,25.110001,25.969999,24.750000,25.000000,11.804082,3337600
2001-08-01,25.000000,26.690001,25.000000,25.629999,12.289998,4697400
2001-09-01,25.379999,25.700001,23.150000,24.500000,11.748143,5227700
2001-10-01,24.750000,24.969999,23.080000,24.309999,11.657038,6515600
2001-11-01,24.350000,25.730000,24.110001,25.500000,12.424196,3686100
2001-12-01,25.500000,26.389999,25.200001,26.000000,12.667809,5004200
2002-01-01,26.000000,26.430000,25.000000,25.610001,12.668716,2764200
2002-02-01,25.590000,26.450001,25.350000,26.049999,12.886373,3866700
2002-03-01,26.200001,27.650000,26.100000,27.500000,13.603663,4049200
2002-04-01,27.530001,29.400000,27.290001,28.040001,13.870786,5267600
2002-05-01,28.040001,29.500000,27.650000,29.150000,14.637797,5527900
2002-06-01,29.250000,31.100000,29.000000,31.000000,15.566782,5537000
2002-07-01,31.000000,31.000000,25.530001,29.549999,14.838655,10010500
2002-08-01,29.200001,29.959999,28.650000,29.750000,15.140442,4526200
2002-09-01,29.660000,29.740000,28.090000,28.900000,14.707854,4579700
2002-10-01,28.900000,28.950001,24.700001,26.799999,13.639117,10107500
2002-11-01,26.799999,28.200001,26.350000,27.650000,14.274070,7299100
2002-12-01,27.660000,28.450001,26.840000,27.360001,14.124359,5350600
2003-01-01,27.450001,28.049999,25.900000,27.650000,14.486728,16243500
2003-02-01,27.600000,28.150000,26.850000,28.000000,14.670102,4816500
2003-03-01,28.000000,28.799999,27.290001,28.250000,14.801084,6873700
2003-04-01,28.250000,28.799999,26.879999,27.299999,14.303348,8500500
2003-05-01,27.350000,28.559999,26.379999,27.410000,14.571391,6670000
2003-06-01,27.700001,29.139999,27.360001,28.170000,14.975413,7529100
2003-07-01,27.950001,28.700001,26.830000,28.100000,14.938196,8797900
2003-08-01,28.150000,28.580000,27.309999,28.500000,15.377380,5081100
2003-09-01,28.969999,31.000000,28.549999,30.809999,16.623760,8160300
2003-10-01,30.450001,31.680000,29.910000,29.990000,16.181320,6902000
2003-11-01,30.100000,32.060001,29.969999,31.459999,17.206232,4980400
2003-12-01,31.700001,33.599998,31.450001,32.880001,17.982866,4071700
2004-01-01,33.020000,35.529999,32.770000,34.950001,19.359955,4147700
2004-02-01,35.000000,36.250000,34.619999,35.419998,19.620304,5622600
2004-03-01,35.520000,37.209999,35.139999,37.169998,20.589678,6330900
2004-04-01,36.799999,37.299999,29.840000,30.299999,16.784163,10322200
2004-05-01,30.250000,33.049999,28.150000,33.049999,18.519226,6284600
2004-06-01,32.950001,36.590000,32.400002,34.630001,19.404566,7470400
2004-07-01,34.299999,36.750000,33.849998,35.139999,19.933140,6227600
2004-08-01,35.110001,37.459999,34.340000,37.349998,21.186764,8052200
2004-09-01,37.430000,38.150002,35.810001,37.020000,20.999575,5481400
2004-10-01,36.439999,37.950001,35.849998,37.500000,21.271851,5117100
2004-11-01,37.650002,40.650002,37.270000,39.950001,22.924793,5357500
2004-12-01,39.950001,41.349998,39.290001,40.389999,23.177284,7053300
2005-01-01,41.080002,41.450001,36.700001,37.230000,21.591087,9397200
2005-02-01,37.250000,39.900002,36.750000,38.820000,22.513191,7605900
2005-03-01,38.820000,40.349998,36.520000,37.799999,21.921656,7003900
2005-04-01,37.799999,39.160000,36.740002,38.990002,22.611788,6079800
2005-05-01,38.990002,41.299999,38.540001,40.310001,23.652630,5473400
2005-06-01,40.320000,44.000000,40.250000,43.430000,25.483345,7359300
2005-07-01,43.189999,46.459999,42.799999,45.990002,26.985470,8510500
2005-08-01,45.990002,46.250000,41.849998,44.330002,26.277672,7855300
2005-09-01,44.430000,45.750000,42.790001,44.900002,26.615526,6226400
2005-10-01,44.459999,44.930000,40.919998,44.180000,26.188740,8098900
2005-11-01,44.049999,46.919998,42.450001,46.759998,27.992409,7014300
2005-12-01,46.900002,50.250000,46.900002,49.169998,29.435135,12026600
2006-01-01,49.400002,52.240002,48.889999,52.200001,31.533098,9239100
2006-02-01,51.900002,54.090000,49.930000,53.650002,32.409008,9229600
2006-03-01,53.750000,56.529999,51.919998,54.270000,32.783539,10230100
2006-04-01,54.250000,54.250000,49.500000,49.990002,30.198071,8732500
2006-05-01,50.250000,51.919998,46.259998,49.430000,30.121819,11417800
2006-06-01,49.570000,51.680000,47.720001,50.549999,30.804321,8307800
2006-07-01,50.849998,53.049999,50.049999,52.430000,31.949959,8697700
2006-08-01,52.650002,56.029999,52.000000,55.830002,34.328365,6611600
2006-09-01,55.970001,58.650002,55.000000,55.110001,33.885662,7336500
2006-10-01,55.029999,58.630001,54.490002,58.410000,35.914749,11022700
2006-11-01,58.599998,62.230000,56.990002,61.270000,37.982971,9399400
