Date,Open,High,Low,Close,Adj Close,Volume
3/1/2007,44.810001,45.779999,42.630001,43.900002,21.475824,13075300
4/1/2007,43.900002,45.799999,43.130001,45.240002,22.131353,13722000
5/1/2007,45.240002,45.5,42.060001,43.77,21.412224,19442600
6/1/2007,43.799999,44.099998,38.639999,40.360001,20.03982,12642200
7/1/2007,40.650002,42.369999,35.869999,36.709999,18.227501,19770300
8/1/2007,35.16,40.529999,35.080002,39.900002,19.811419,22988500
9/1/2007,39.810001,44.240002,39.290001,44.240002,22.3685,16548900
10/1/2007,44.25,46.549999,42.509998,44.290001,22.393782,16382400
11/1/2007,43.849998,45.119999,41,44.810001,22.993801,30490600
12/1/2007,44.990002,45.529999,41.59,44.689999,22.932215,17342600
1/1/2008,44.68,45.419998,39.259998,42.82,21.972645,24432700
2/1/2008,42.880001,43.73,39.52,41.16,21.439455,16517300
3/1/2008,41.029999,46.450001,39.48,45.130001,23.507349,23595700
4/1/2008,45.830002,50.490002,45.41,48.450001,25.236681,15470000
5/1/2008,48.349998,50.119999,46.709999,48.299999,25.509041,20468800
6/1/2008,48.099998,49.25,44,44.5,23.502117,16411000
7/1/2008,42.59,49.990002,42.540001,49.869999,26.338215,29243700
8/1/2008,49.869999,53.98,49.009998,51.869999,27.775671,27173400
9/1/2008,52.220001,53.740002,46.389999,53.23,28.503937,45105400
10/1/2008,52.57,53.5,37.439999,44.509998,23.834497,53005700
11/1/2008,44.830002,45,30.139999,38,20.348478,57296500
12/1/2008,37.43,42.400002,32.490002,42.200001,22.981771,61581600
1/1/2009,42.32,42.32,34.810001,37.810001,20.591017,66471700
2/1/2009,37.099998,38.950001,28.450001,30.77,16.75709,64288200
3/1/2009,29.77,35.02,25.860001,30.59,16.971479,88116700
4/1/2009,30.030001,35.880001,29.620001,34.07,18.902187,83672600
5/1/2009,34.02,35.139999,31.57,34.25,19.002066,63038800
6/1/2009,34.619999,36.41,33.040001,34.099998,19.303209,45206500
7/1/2009,34.119999,40.75,32.639999,40.060001,22.677027,39456300
8/1/2009,40.360001,44.400002,39.580002,42.709999,24.17713,39633700
9/1/2009,40.700001,44.369999,39.549999,41.619999,23.931049,54410300
10/1/2009,41.59,45.740002,40.529999,44.369999,25.512266,44208700
11/1/2009,44.540001,45.450001,41.919998,44.549999,25.615776,35156500
12/1/2009,44.73,46.740002,44.32,44.32,25.886044,27976600
1/1/2010,44.509998,45.610001,42.459999,43,25.11507,26932700
2/1/2010,43.27,43.549999,39.82,42.360001,24.741262,33715200
3/1/2010,42.529999,46.790001,42.18,45.23,26.844654,29732200
4/1/2010,45.400002,46.439999,43.009998,44.93,26.666595,31535300
5/1/2010,45.27,46.060001,38.419998,43.080002,25.56859,44755200
6/1/2010,42.810001,44.84,40.700001,42.119999,25.395542,43193800
7/1/2010,42.02,46,40.849998,45.310001,27.318893,37746300
8/1/2010,45.889999,46.66,44.09,45.93,27.692709,29770800
9/1/2010,46.330002,48.540001,45.919998,47.34,28.977413,32938700
10/1/2010,47.599998,51.369999,46.740002,51.099998,31.278959,24002600
11/1/2010,51.259998,52.060001,45.130001,46.279999,28.328581,32706800
12/1/2010,44.450001,47.959999,44.07,47.639999,29.565983,51901200
1/1/2011,48.029999,49.279999,46.75,49.080002,30.459667,31826900
2/1/2011,49.43,52.240002,48.139999,52.220001,32.408379,25552500
3/1/2011,51.299999,52.740002,50.169998,52.439999,33.006496,82969800
4/1/2011,52.610001,55.209999,51.599998,53.77,33.843632,36206600
5/1/2011,54.09,54.259998,50.5,53.189999,33.478569,37426700
6/1/2011,53.040001,53.77,49.790001,52.43,33.454983,37944300
7/1/2011,52.439999,54.630001,51.700001,52.779999,33.678303,30878200
8/1/2011,50.740002,51.310001,41.029999,50.959999,32.516987,83061100
9/1/2011,51.09,51.529999,46.150002,46.799999,30.320875,45179400
10/1/2011,46.619999,53.880001,43.650002,52.689999,34.136887,49962700
11/1/2011,50.849998,53.77,47.080002,50.169998,32.50423,56004900
12/1/2011,50,55.169998,49.310001,54.529999,35.812214,36277800
1/1/2012,55.209999,57.48,53.599998,57.209999,37.572285,35007900
2/1/2012,57.43,57.66,53.259998,54.439999,35.753101,56026600
3/1/2012,54.580002,55.330002,53.509998,54.959999,36.567448,44853800
4/1/2012,54.84,56.91,52.400002,56.700001,37.725147,29963200
5/1/2012,56.740002,57.950001,53.720001,55.470001,36.906773,31992400
6/1/2012,54.52,58.34,53.509998,58.299999,39.300087,34456000
7/1/2012,58.52,62.549999,58.040001,62.23,41.94931,32397900
8/1/2012,62.400002,62.799999,57.130001,58.439999,39.394459,51224100
9/1/2012,58.419998,59.939999,56.48,57.740002,39.391312,67441800
10/1/2012,57.919998,60.91,56.880001,59.43,40.544258,35165700
11/1/2012,59.509998,60.73,58,58.889999,40.175858,42063000
12/1/2012,59,61.330002,59.28,59.28,0.096716,35896700
1/1/2013,0.14,63.419998,0.13,62.84,43.411724,35642100
2/1/2013,62.18,64.870003,0.145,64.139999,44.309807,38285600
3/1/2013,63.700001,67.919998,64.62,64.62,0.076928,33514300
4/1/2013,67.599998,74.980003,67.599998,74.970001,52.429745,35457600
5/1/2013,74.82,80.07,0.22,68.029999,47.576313,70215300
6/1/2013,67.379997,68.940002,61.619999,67.029999,47.356289,48566200
7/1/2013,67.559998,68.790001,0.22,64.489998,45.561794,36262800
8/1/2013,64.669998,64.849998,58.16,61.439999,43.406986,46723500
9/1/2013,0.22,66.080002,0.22,62.380001,44.607822,32310900
10/1/2013,62.380001,66.760002,61.279999,64.849998,46.374115,37227200
11/1/2013,64.900002,65.400002,0.22,55.990002,40.038349,35392600
12/1/2013,56.16,56.240002,0.22,53.57,38.776649,43549000
1/1/2014,0.22,58.110001,0.22,57.919998,41.925404,50725700
2/1/2014,57.82,59.080002,0.05,58.740002,42.518963,33990100
