Date,Price
3/1/2007,182.196
4/1/2007,182.134
5/1/2007,181.888
6/1/2007,181.545
7/1/2007,181
8/1/2007,180.242
9/1/2007,179.129
10/1/2007,177.537
11/1/2007,175.168
12/1/2007,173.343
1/1/2008,171.082
2/1/2008,169.195
3/1/2008,167.907
4/1/2008,167.328
5/1/2008,167.026
6/1/2008,166.544
7/1/2008,165.721
8/1/2008,164.286
9/1/2008,161.919
10/1/2008,159.168
11/1/2008,156.076
12/1/2008,152.549
1/1/2009,149.367
2/1/2009,147.623
3/1/2009,146.52
4/1/2009,146.949
5/1/2009,148.176
6/1/2009,149.801
7/1/2009,150.749
8/1/2009,150.666
9/1/2009,149.625
10/1/2009,148.585
11/1/2009,147.942
12/1/2009,146.67
1/1/2010,145.003
2/1/2010,143.055
3/1/2010,143.597
4/1/2010,145.402
5/1/2010,147.037
6/1/2010,147.702
7/1/2010,147.56
8/1/2010,146.422
9/1/2010,144.602
10/1/2010,143.124
11/1/2010,141.817
12/1/2010,140.633
1/1/2011,139.046
2/1/2011,137.743
3/1/2011,137.793
4/1/2011,139.158
5/1/2011,140.688
6/1/2011,141.941
7/1/2011,142.34
8/1/2011,141.783
9/1/2011,140.164
10/1/2011,138.404
11/1/2011,136.659
12/1/2011,135.162
1/1/2012,134.165
2/1/2012,133.996
3/1/2012,135.867
4/1/2012,138.473
5/1/2012,141.049
6/1/2012,143.168
7/1/2012,144.278
8/1/2012,144.701
9/1/2012,144.356
10/1/2012,143.968
11/1/2012,143.964
12/1/2012,143.871
1/1/2013,144.311
2/1/2013,145.158
3/1/2013,147.96
4/1/2013,150.974
5/1/2013,153.869
6/1/2013,156.438
7/1/2013,158.298
8/1/2013,159.405
9/1/2013,159.68
10/1/2013,159.558
11/1/2013,159.361
12/1/2013,159.282
1/1/2014,159.38
2/1/2014,159.891
3/1/2014,161.21
